video_id,date,caption,views,subject,packaging,packaging_level,tags,notes,method,reviewed,transcript
7540412027907362062,2025-08-19,America we are BACK! What’s up TikTok?,4000000,promotion,produced,3,dramatic_score|hype_language|speed_ramp|greyscale_compare|stock_hero|highlight_reel|aura_farming,"first post, has call to action telling people to follow @WhiteHouse account. tells people ""Every day I wake up determined to deliver a better life for people all across this nation. I am your voice"" to cheers in the background (unsure if real cheers). Under Promotion/ meta, I have put things that sounds like it came out of an election rally. ",human,yes, Every day I wake up determined to deliver a better life for the people all across this nation. I am your voice.
7540459915794500919,2025-08-20,We’re so back,3600000,promotion,produced,3,dramatic_score|stock_hero|highlight_reel,Just a video with snappy cuts showing the White House grounds.,human,yes, Música
7540494832012233998,2025-08-20,"‘I was the hunted, and now I’m the hunter.’",1900000,trump,meme,6,meme_audio|stock_hero|comparison|highlight_reel|punchline|call_response|named_target|trump_dance|troll|provocative|aura_farming,"Started with ""I was the hunted, and now I am the hunter."" then subsequently, there was this line: ""You don't have the cards right now. With us, you start having cards."" and there's also ""Everything is computer."" ""You know when the bunny took Joe Biden out? It's not going to take Trump out"". There's also a frame where Trump's mobile phone rings in the middle of a meeting. And one where he dances goofily to YMCA during an event. The rest is him delivering a bunch of strong man quotes without context. ",human,yes," I was the hunted, and now I'm the hunter. You better comply, because otherwise you're not getting any federal funding. I'll see you in court. Every state, good, I'll see you in court. I look forward to that. That should be a real easy one. You don't have the cards right now. With us, you start having cards. And I like Canada very much, but we don't want to have Canada making our cards. We want to make our cards. Oh, it's a phone call. Do you mind? Okay, it's only a congressman. Too late. I call him too late, pal, because he's always too late. Everything's a computer. Too late. I call him too late. Come on, too late. Let's have dinner. Everything good? Everything all right? You want an egg? You remember when the bunny took Joe Biden out? He's not taking Trump out. You want to keep it going for another five years? Yeah, you would say Pocahontas says yes. He's got a more and more. I have answered. I wonder if there's an egg on your screen? What, it is 그래도 Chalen. Absolutely. Whenever you're moving, I'll put your greens down here. Let everyone begin to listen to delega, because Cathy and Randall. You're up and it has gone all about 10 minutes. особенно if you're safe for me, I'm going to drink usted. You've listened to until next to me. No doorbell. Just making some card and Ford. I can get married with Trump Huntering."
7540673312909692173,2025-08-20,"Press Sec RIPS Reporter: “With all due respect, only a reporter from the New York Times would ask a ",1300000,opponents,official,1,speech_audio|call_response,Spiel directed towards New York Times reporter for asking a question. Press secretary Karoline Leavitt speaking on behalf of the White House. Attacking the media for doing its job.,human,yes," With all due respect, only a reporter from the New York Times would ask a question like that, Sean. The president met with all of these European leaders at the White House 48 hours after sitting down with President Putin on American soil. In fact, there was so much progress in the readout that was given to these European leaders immediately following his meeting with President Putin that every single one of them got on a plane 48 hours later and flew to the United States of America. And if I could just read for all of you some of the statements from those European leaders yesterday, you had President Zelensky himself saying it was a very good conversation. It was really good. We spoke about very sensitive points. The Secretary General Mark Ruda, it was the president only because of the president that this deadlock was broken, but with President Putin by starting a dialogue. So these leaders who this war is in their backyard are very grateful that the president took that call and that he was there to provide them with a readout of Russia's thinking on this, something that was not done by the previous administration."
7540688033742441783,2025-08-20,They don’t know it yet…,1600000,trump,meme,6,meme_audio|speed_ramp|stock_hero|comparison|highlight_reel|punchline|named_target|troll|provocative,"Reaction videos of people losing their minds over Trump winning at the election, interspersed with Trump nodding his head assuringly. Text overlay (I wouldn't call it ""heavy"" text overlay) says ""they don't know it yet, but Trump is making America better for them, their kids and their grandkids..."" Song playing in the background is DIM (Nostalgic Edit), which is a popular background music for TikTok videos. DIM hits No.1 on TikTok's viral 50 at one point. I would say it has meme status.",human,yes, Музыка
7540720369628433719,2025-08-20,Fact: D.C. has one of the highest murder rates in the entire world,1100000,opponents,official,1,speech_audio|text_heavy|call_response,"While I labelled this as ""official"", it's actually a video cutout from a TV channel broadcast stream's video. A bit of a weird treatment. It's not White House's own footage of the presser. ""VP Vance Roasts Reporter on D.C. Crime Statistics"" is the line that's laid over.",human,yes," Are you going to be releasing evidence of this? Of what? That D.C. has a terrible crime problem? You just got to look around. Obviously, D.C. has a terrible crime problem. The Department of Justice Statistics back it up. The FBI Statistics back it up. Just talk to a resident of this city, this beautiful, great American city. Don't they deserve? We talk about human rights. We hear these people outside screaming, free D.C. Let's free D.C. from lawlessness. Let's free Washington, D.C. from one of the highest murder rates in the entire world. Let's free Washington, D.C. so that young families can walk around and feel safe and secure. That's what we're trying to free D.C. from. And as Stephen said, it's kind of bizarre that we have a bunch of old, primarily white people who are out there protesting the policies that keep people safe when they've never felt danger in their entire lives."
7540745321232567566,2025-08-20,All we do is win,1000000,promotion,pop_culture,5,meme_audio|hype_language|deep_fried|stock_hero|highlight_reel|fictional_overlay|call_response|expletive|troll|provocative,"Celebrating 200 days of ""winning"" -- I guess it's 200 days of Trump becoming president? Many many film reels used. Win Win Win Win as words superimposed. ""Okay, Fuck (toot) You, watch this"" as expletive.",human,yes," You say, please, please, it's too much. I'm a winner. I'm going to win. That's my job. That's what I do. This is my nature. Are you not entertained? I'm going to show you how great I am. You play to win the game. Here's the situation. I'm the best there is, plain and simple. You can't handle the truth. It's all there, black and white, clear as crystal. That's how winning is done. Not worth winning if you can't win. That flick is switching me where I was like, okay, you watch this. The show goes on. What the? Who do you think you are? I am. I'm kind of a big decon. The winning is winning. Ben, Noggin. Winners focus on winner. My boy's a wicked smart. Win, win, win, win. Yeah."
7540767069856402743,2025-08-20,Who would have thought making our communities safer would be soo controversial ,1000000,enforcement,produced,3,dramatic_score|speech_audio|speed_ramp|highlight_reel|call_response,"Uses interaction shots from an event, and shows how Pete Hegseth and JD Vance interacting with members of the US army.",human,yes," I want to thank all the people, the guardsmen here and the police officers who worked very hard for actually keeping this place safe. If you look at what's happened in Washington, D.C. in just the past nine days, we've seen a 35% reduction in violent crime. We've seen over a 50% reduction in robberies. We are seeing really substantial effects. So I want to come here, highlight what they're doing, say thank you in person, obviously pass out a few burgers. But most of all, we do not have to allow our cities to be taken over by violence. You can actually bring law and order to communities. You've just got to have the political willpower to do it because we want our people to be able to enjoy our beautiful cities. And the last thing I'll say is to the American people, D.C. is already safer than it was nine days ago, but we're going to make it safer still to come. This is your city."
7540791678332964110,2025-08-20,Oh you thought we were just talking?  Make D.C. Safe Again. ,1200000,enforcement,produced,3,dramatic_score|speech_audio|hype_language|stock_hero|comparison|highlight_reel,"Audio uses portion of Trump's speech. Visuals are all shots of D.C.; some shots of tents with audio like ""horribly run"" D.C. and nightmare of murder and crime"", mixed into beautiful looking streets with Trump making the promise that D.C. will be rebuilt into beacons of ""hope, safety, and beauty"", also ""symbol of beauty, security, freedom and strength"".",human,yes," We're going to rebuild our cities into beacons of hope, safety and beauty better than they have ever, ever, ever been before. We will take over our horribly run Washington, D.C. and clean up, renovate and rebuild our capital so that it is no longer a nightmare of murder and crime. We're going to get all the graffiti off the marble. We're going to fix the roads and the medians which are falling down all over the streets. Washington, D.C. will become a symbol of beauty, security, freedom and strength."
7541167259646020878,2025-08-21,We’re going to have the best capital ever ,859200,enforcement,official,1,,"Trump saying Washington D.C. Crime numbers way down; capital feels very safe now, but will be superior in two weeks' time.",human,yes," But the crime numbers are way down. I'm looking at you saw some of the stats. I just read them out to me inside the numbers that we haven't seen here ever, actually ever. And I think it's probably right now. It's to me, I feel very safe now and I'm hearing people are very safe. But I know within two weeks, it's going to be Pam. It's going to be at a level that's even far superior. So I just came. I just wanted to thank you all. You're doing incredible. You're incredible people. You make the country run, frankly. You make the whole place run. We're going to have the best capital ever. We're going to have the it's going to look better than it ever did."
